Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1957,28.5,28.5,28.7,28.8,28.8,28.9,28.9,29.0,29.1,29.2,29.4,29.4
1958,29.4,29.4,29.5,29.5,29.5,29.5,29.6,29.6,29.6,29.7,29.9,29.9
1959,29.9,29.9,30.0,30.0,30.1,30.1,30.2,30.2,30.3,30.5,30.5,30.5
1960,30.5,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.8,30.8,30.8
1961,30.8,30.8,30.8,30.9,30.9,30.9,31.0,31.0,31.1,31.2,31.2,31.2
1962,31.2,31.2,31.3,31.3,31.4,31.4,31.4,31.4,31.5,31.6,31.6,31.6
1963,31.5,31.5,31.6,31.7,31.7,31.8,31.8,31.9,31.9,32.0,32.1,32.1
1964,32.1,32.1,32.2,32.2,32.2,32.3,32.3,32.2,32.3,32.4,32.5,32.5
1965,32.6,32.6,32.6,32.7,32.7,32.7,32.7,32.7,32.8,32.9,32.9,33.0
1966,32.9,33.0,33.1,33.3,33.4,33.5,33.6,33.7,33.8,34.0,34.1,34.1
1967,34.1,34.2,34.3,34.4,34.5,34.6,34.7,34.8,35.0,35.2,35.3,35.4
1968,35.5,35.6,35.8,35.9,36.0,36.2,36.4,36.5,36.7,36.9,37.1,37.2
1969,37.3,37.5,37.8,38.1,38.2,38.3,38.5,38.6,38.9,39.1,39.3,39.5
1970,39.6,39.8,40.1,40.3,40.5,40.8,40.9,41.0,41.3,41.6,41.9,42.1
1971,42.1,42.1,42.2,42.3,42.6,42.8,42.9,42.9,43.1,43.2,43.3,43.4
1972,43.4,43.5,43.6,43.7,43.9,44.0,44.1,44.3,44.3,44.5,44.6,44.7
1973,44.6,44.7,44.9,45.1,45.3,45.4,45.5,45.7,46.0,46.4,46.6,46.8
1974,46.8,47.1,47.5,47.9,48.4,49.0,49.5,50.1,50.7,51.3,51.8,52.0
1975,52.2,52.6,52.9,53.3,53.5,53.7,54.0,54.2,54.6,54.9,55.3,55.5
1976,55.7,56.0,56.4,56.7,57.0,57.2,57.6,57.9,58.3,58.6,58.9,58.9
1977,59.2,59.5,59.9,60.3,60.6,61.0,61.2,61.5,61.9,62.1,62.4,62.7
1978,63.0,63.2,63.7,64.2,64.7,65.3,65.7,66.1,66.8,67.3,67.8,68.0
1979,68.4,69.0,69.6,70.2,70.8,71.4,72.0,72.7,73.4,74.1,75.0,75.7
1980,76.6,77.3,78.3,79.3,80.2,81.1,80.9,81.3,82.2,83.2,84.1,84.9
1981,85.3,85.7,86.1,86.8,87.8,88.7,89.9,90.7,91.9,92.3,92.7,93.0
1982,93.2,93.5,93.7,94.5,95.4,96.3,96.7,97.1,97.3,97.7,97.6,97.2
1983,97.6,97.9,98.1,98.6,98.8,99.1,99.6,100.0,100.7,101.3,101.8,101.9
1984,102.3,102.6,103.0,103.5,103.9,104.2,104.6,105.1,105.8,106.3,106.5,106.7
1985,106.9,107.4,107.9,108.2,108.6,108.8,109.0,109.4,110.0,110.7,111.2,111.3
1986,111.6,111.9,112.3,112.7,112.9,113.1,113.5,113.8,114.5,115.1,115.4,115.5
1987,115.8,116.1,116.8,117.4,117.6,117.7,118.0,118.6,119.4,120.1,120.5,120.4
1988,120.8,121.1,121.9,122.4,122.7,123.0,123.3,123.8,124.7,125.5,125.8,126.0
1989,126.4,126.9,127.6,128.0,128.3,128.5,129.0,129.3,130.0,130.9,131.3,131.5
1990,132.0,132.8,133.9,134.2,134.4,134.8,135.5,136.4,137.2,137.8,138.2,138.3
1991,139.4,140.3,140.9,141.1,141.3,141.5,142.0,142.7,143.4,143.9,144.4,144.4
1992,144.9,145.6,146.4,146.6,146.7,146.9,147.3,147.7,148.1,149.0,149.3,149.2
1993,149.9,150.8,151.4,151.7,151.7,151.8,152.0,152.6,152.9,153.5,153.9,153.9
1994,154.3,155.0,155.8,155.9,156.0,156.2,156.4,157.0,157.5,158.0,158.2,157.9
1995,158.7,159.6,160.4,160.7,160.8,160.9,161.1,161.6,162.1,162.8,163.0,162.7
1996,163.4,164.2,164.9,165.0,165.1,165.2,165.5,165.8,166.4,167.0,167.2,167.0
1997,167.5,168.3,169.0,169.4,169.3,169.2,169.5,169.6,170.0,170.8,170.8,170.7
1998,171.2,172.1,172.6,173.0,173.1,173.0,173.3,173.8,174.2,174.7,174.8,174.8
1999,175.3,175.7,176.2,176.8,176.6,176.6,176.9,177.1,177.7,178.3,178.4,178.2
2000,178.8,179.5,180.5,180.9,180.9,181.0,181.3,181.7,182.3,182.8,183.0,182.8
2001,183.5,184.4,185.3,185.6,185.5,185.9,186.2,186.6,187.1,187.6,188.1,187.8
2002,188.2,189.2,189.8,190.3,190.2,190.1,190.3,191.0,191.3,191.8,191.8,191.4
2003,191.8,192.5,193.0,193.1,193.2,193.0,193.2,193.5,193.6,194.3,193.9,193.6
2004,194.0,194.9,196.1,196.5,196.5,196.6,196.6,196.8,197.4,198.2,198.1,197.8
2005,198.4,199.5,200.7,200.9,200.8,200.6,200.8,201.0,201.3,202.3,202.3,202.1
2006,202.6,203.6,204.9,205.5,205.7,205.9,206.2,206.7,207.2,207.8,207.6,207.3
2007,208.009,209.112,209.923,210.311,210.316,210.474,210.756,211.111,211.628,212.318,212.435,212.356
2008,213.138,213.866,214.866,215.059,215.180,215.553,216.045,216.476,216.862,217.023,216.690,216.100
2009,216.719,217.685,218.639,219.143,219.128,219.283,219.350,219.596,220.137,220.731,220.384,220.025
2010,220.086,220.602,221.059,221.166,221.193,221.265,221.258,221.551,221.907,222.079,222.077,221.795
2011,222.177,223.011,223.690,224.118,224.534,224.891,225.164,225.874,226.289,226.743,226.859,226.740
2012,227.237,227.865,228.735,229.303,229.602,229.879,229.893,230.196,230.780,231.276,231.263,231.033
2013,231.612,232.432,233.052,233.236,233.462,233.640,233.792,234.258,234.782,235.162,235.243,235.000
2014,235.367,236.075,236.913,237.509,238.029,238.157,238.138,238.296,238.841,239.413,239.248,238.775
2015,239.248,240.083,241.067,241.802,242.119,242.354,242.436,242.651,243.359,243.985,244.075,243.779
2016,244.528,245.680,246.358,246.992,247.544,247.794,247.744,248.278,248.731,249.218,249.227,249.134
2017,250.083,251.143,251.290,251.642,251.835,252.014,251.936,252.460,252.941,253.638,253.492,253.558
2018,254.638,255.783,256.610,257.025,257.469,257.697,257.867,258.012,258.429,259.063,259.105,259.083
2019,260.122,261.114,261.836,262.332,262.590,263.177,263.566,264.169,264.522,265.059,265.108,264.935
