Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1957,21.3,21.5,21.6,21.5,21.4,21.4,21.5,21.4,21.5,21.4,21.6,21.6
1958,21.7,21.4,21.5,21.3,21.4,21.4,21.6,21.8,21.7,21.7,21.5,21.4
1959,21.5,21.7,21.8,21.8,21.7,21.7,21.7,21.9,22.0,22.3,22.3,22.4
1960,22.4,22.3,22.3,22.3,22.1,22.3,22.4,22.6,22.6,22.5,22.7,22.7
1961,22.8,22.7,22.7,22.2,22.2,22.3,22.4,22.5,22.6,22.5,22.6,22.4
1962,22.5,22.6,22.5,22.7,22.5,22.4,22.2,22.4,22.8,22.8,22.7,22.9
1963,22.9,22.7,22.7,22.5,22.5,22.4,22.6,22.6,22.6,22.7,22.6,22.7
1964,22.9,22.2,22.6,22.5,22.4,22.5,22.5,22.6,22.5,22.5,22.5,22.7
1965,22.8,22.7,22.7,22.9,23.0,23.0,23.0,23.0,23.1,23.0,23.1,23.1
1966,23.1,23.2,23.2,23.1,23.2,23.3,23.4,23.3,23.4,23.4,23.5,23.5
1967,23.6,23.7,23.7,23.9,23.9,23.8,23.8,23.9,24.0,23.9,24.0,23.9
1968,24.0,24.1,24.1,24.0,24.1,24.2,24.2,24.3,24.3,24.3,24.4,24.3
1969,24.4,24.4,24.7,24.9,24.8,25.0,24.9,24.9,24.9,25.0,24.9,25.0
1970,25.1,25.1,25.0,25.5,25.5,25.3,25.5,25.4,25.6,25.9,25.9,26.2
1971,26.3,26.3,26.3,26.1,26.2,26.3,26.3,26.8,26.9,26.9,26.7,27.0
1972,27.0,26.9,27.0,26.9,27.1,27.0,27.1,27.3,27.6,27.6,27.7,27.7
1973,28.0,28.3,28.4,28.7,28.9,29.3,29.3,29.4,29.4,30.1,31.2,32.4
1974,34.2,35.5,37.0,37.7,38.4,38.7,39.1,39.2,39.3,39.0,39.1,39.4
