Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1914,6.2,4.2,2.1,-1.0,1.0,1.0,2.0,6.0,4.9,1.0,0.0,1.0
1915,0.0,0.0,-1.0,2.1,3.1,2.0,-1.0,-5.7,-6.5,-1.9,-1.0,0.0
1916,2.9,5.0,9.3,10.2,9.0,11.0,9.0,12.0,17.0,17.6,21.4,20.2
1917,18.9,25.7,23.6,33.3,36.7,35.1,33.0,31.3,29.1,30.0,23.2,24.8
1918,26.2,21.2,16.8,6.3,5.4,7.3,14.5,15.6,17.2,15.4,18.2,19.2
1919,15.7,6.9,13.7,18.3,17.8,14.3,14.5,12.9,6.2,5.0,6.0,6.5
1920,12.0,21.1,20.1,22.1,22.2,25.0,19.5,9.4,8.0,5.8,1.6,-8.1
1921,-14.6,-21.7,-23.4,-29.0,-33.6,-34.3,-31.3,-22.9,-21.2,-20.0,-19.4,-14.3
1922,-15.3,-8.0,-8.1,-6.4,-1.3,-0.7,-3.2,-9.3,-8.1,-6.9,-4.4,-2.6
1923,0.7,-0.7,1.4,2.7,2.7,2.7,4.6,6.1,6.8,5.4,4.6,2.6
1924,3.3,4.1,0.7,-1.3,-1.3,-1.9,-4.4,-3.8,-2.5,-1.9,-1.9,0.0
1925,2.6,1.9,4.7,5.4,5.3,8.6,12.6,13.3,9.2,10.4,14.2,11.5
1926,10.1,10.2,8.9,12.1,10.1,4.3,-2.4,-3.5,0.0,-0.6,-4.0,-2.3
1927,-4.6,-5.2,-5.3,-8.0,-4.6,0.0,-2.4,-2.4,-2.4,-2.4,-2.9,-2.9
1928,-2.4,-2.4,-1.2,0.0,-1.2,-5.8,-1.2,1.3,1.8,0.0,-0.6,-1.8
1929,-0.6,0.6,-0.6,-2.5,-1.8,1.2,4.4,4.9,2.4,2.4,2.4,2.5
1930,1.2,1.2,0.6,3.2,0.0,-2.5,-8.4,-10.6,-9.4,-8.9,-10.7,-12.7
1931,-14.6,-17.2,-16.3,-19.0,-19.3,-20.1,-17.0,-16.4,-17.5,-18.2,-18.0,-17.2
1932,-18.6,-17.8,-17.2,-15.9,-16.9,-16.5,-15.7,-17.3,-17.3,-17.5,-16.3,-15.0
1933,-14.0,-15.3,-15.3,-15.3,-9.3,-3.8,3.7,7.6,7.6,8.7,7.8,6.9
1934,13.3,21.3,22.3,20.2,17.3,13.7,4.5,3.5,7.1,5.3,6.3,8.3
1935,9.9,8.8,7.8,11.5,9.6,7.8,6.0,5.1,3.3,4.2,6.8,7.6
1936,3.3,0.0,-1.6,-3.2,-3.2,0.8,3.3,4.9,4.0,3.2,0.0,-0.8
1937,1.6,4.0,7.4,7.4,8.2,4.8,3.9,3.1,3.1,3.1,2.4,0.8
1938,-3.1,-6.2,-7.6,-6.9,-8.3,-7.6,-7.6,-9.0,-9.0,-8.3,-7.8,-4.7
1939,-4.0,-2.5,-2.5,-4.1,-3.3,-4.9,-4.1,-4.1,0.0,0.0,0.8,-2.5
1940,-0.8,1.7,0.8,1.7,2.6,5.2,3.4,2.6,-0.8,-1.7,-0.8,2.5
1941,2.5,1.7,2.5,5.0,5.8,7.4,9.1,12.6,13.2,16.0,17.6,15.7
1942,19.0,18.9,20.5,19.2,18.9,16.8,17.4,16.4,14.6,16.7,16.4,17.9
1943,14.6,14.5,15.6,16.8,17.9,15.0,11.0,9.0,8.3,6.2,4.3,3.0
1944,2.4,0.6,-1.8,-4.0,-5.6,-4.5,-1.2,0.6,0.0,-1.2,-0.6,0.0
1945,0.6,1.2,1.2,1.2,2.4,4.2,3.5,2.3,1.8,2.4,3.0,3.5
1946,2.9,2.4,3.0,4.1,2.9,3.4,17.0,21.7,24.9,28.9,33.9,31.3
1947,30.3,30.6,35.1,32.4,31.6,30.9,16.5,14.6,16.7,12.1,8.2,11.3
1948,14.0,12.4,6.8,10.7,12.4,12.2,12.1,10.2,6.0,4.8,2.0,-0.8
1949,-2.3,-2.4,-0.4,-2.3,-4.2,-4.5,-7.1,-6.3,-4.9,-5.0,-3.1,-3.9
1950,-4.3,-2.4,-2.4,-2.8,-1.2,-0.8,3.6,3.6,2.8,4.8,5.2,9.8
1951,13.2,15.7,15.2,14.3,13.7,11.9,9.3,8.0,8.0,9.2,9.5,7.1
1952,4.7,0.7,0.7,2.1,1.8,1.8,3.2,3.5,2.5,1.1,0.3,-1.0
1953,-1.4,-1.1,-1.1,-2.4,-2.1,-0.7,-2.4,-2.1,-1.4,-1.0,-2.4,-1.1
1954,0.0,1.1,0.4,1.1,1.1,0.0,0.7,0.0,-1.1,-1.8,-0.7,-1.8
1955,-2.5,-1.4,-1.1,-1.1,-1.8,-2.1,-2.1,-2.4,-0.7,-0.7,-1.4,-0.7
1956,-1.1,-1.8,-1.8,-1.4,-0.4,1.8,2.5,1.8,1.4,2.2,2.9,2.9
1957,3.3,4.4,4.0,3.6,3.2,2.5,2.1,3.9,3.2,2.8,2.8,2.8
1958,4.9,4.6,6.7,7.0,6.3,4.8,3.7,2.7,3.1,2.7,2.7,2.4
1959,0.3,-0.3,-2.6,-3.3,-3.3,-2.3,-2.0,-2.0,-1.3,-1.0,-1.3,-1.0
1960,-1.0,-1.0,0.0,1.7,1.7,1.3,1.0,1.3,1.3,2.0,3.1,3.1
1961,3.1,3.4,3.1,1.3,1.0,0.3,1.3,1.0,0.7,0.0,-0.7,-0.7
1962,-0.3,0.3,0.3,0.7,0.7,1.0,0.3,1.0,2.0,1.7,2.0,1.3
1963,2.3,1.6,1.3,0.7,1.0,1.3,2.3,2.3,0.6,0.6,1.0,2.0
1964,1.0,1.3,1.3,1.6,1.3,1.3,1.0,0.6,1.6,1.9,1.6,1.3
1965,0.6,0.3,1.0,1.3,2.2,3.8,3.5,3.2,2.2,2.5,2.5,3.5
1966,4.8,6.3,6.6,6.3,5.3,3.4,3.0,5.2,5.6,5.6,4.9,4.0
1967,2.7,0.9,0.3,-0.3,0.3,0.9,1.5,0.6,0.3,0.0,0.6,1.2
1968,2.1,2.7,3.3,4.2,4.2,3.5,3.5,3.2,3.8,4.7,4.1,4.4
1969,4.3,4.0,3.7,4.0,4.3,5.4,5.6,5.9,5.9,5.0,6.5,7.0
1970,7.2,7.8,7.5,7.4,7.1,5.9,5.3,4.8,4.5,4.8,3.4,2.3
1971,1.8,1.5,2.6,2.6,2.8,3.3,3.3,3.5,3.0,2.8,3.6,4.3
1972,4.1,5.3,4.5,4.0,3.5,3.2,3.7,3.9,4.7,5.2,5.2,4.6
1973,6.8,7.5,9.8,11.5,12.7,13.6,13.5,19.8,18.8,18.8,19.7,20.3
1974,19.6,20.1,18.3,16.3,15.7,14.7,14.0,9.0,11.3,11.9,11.9,12.0
1975,11.1,8.9,7.7,7.8,7.7,8.8,11.3,9.4,7.8,7.8,7.2,6.6
1976,5.8,4.8,4.3,4.8,4.6,3.9,2.0,2.5,2.1,1.5,0.7,0.5
1977,1.5,4.4,5.6,6.5,6.5,7.0,6.8,6.9,7.1,7.1,8.1,8.1
1978,8.6,7.5,8.2,8.6,9.8,10.5,10.6,10.4,10.9,11.5,11.2,11.8
1979,12.4,13.1,12.8,12.0,11.4,10.0,10.1,9.7,9.9,9.9,9.8,10.2
1980,8.9,7.3,7.4,7.2,6.8,7.1,7.6,9.6,10.1,10.1,10.6,10.2
1981,10.1,10.5,10.1,9.5,8.9,8.5,8.4,7.1,6.4,5.8,4.8,4.3
1982,4.7,4.7,3.9,4.1,4.7,5.3,4.5,3.6,3.5,3.4,3.4,3.1
1983,2.5,2.0,2.7,2.8,2.5,1.4,1.2,1.7,1.7,2.0,2.2,2.7
1984,3.9,4.6,4.0,3.5,3.0,3.4,3.8,4.3,4.0,3.9,3.9,3.8
1985,2.6,2.4,2.4,2.4,2.5,2.4,2.1,1.5,1.8,1.8,2.3,2.6
1986,2.8,1.9,1.9,2.1,2.6,2.6,3.4,4.3,4.3,4.5,4.3,3.8
1987,4.2,4.7,4.7,4.7,4.9,5.3,4.2,3.5,3.6,3.6,3.3,3.5
1988,3.2,2.8,3.0,3.4,3.3,3.3,4.5,4.9,5.3,5.2,5.3,5.2
1989,5.6,6.2,6.6,6.5,6.8,6.3,5.6,5.4,4.9,5.2,5.6,5.6
1990,6.7,6.8,6.5,5.7,5.1,5.6,5.7,5.6,5.6,5.6,5.6,5.3
1991,4.1,3.2,3.3,4.1,4.2,3.9,2.9,2.3,2.1,1.6,1.6,1.9
1992,1.0,1.5,1.7,1.0,0.4,0.1,0.5,1.5,1.8,1.8,1.5,1.5
1993,1.9,1.7,1.4,1.8,2.7,2.2,2.3,2.0,1.9,2.4,2.6,2.9
1994,2.8,2.1,2.2,2.0,1.7,2.2,2.8,2.8,2.8,2.4,2.4,2.9
1995,2.6,3.1,2.9,3.5,3.3,3.1,2.7,2.5,2.7,3.0,2.8,2.1
1996,2.4,2.3,2.8,2.6,2.5,3.2,3.4,3.6,3.8,4.0,4.4,4.3
1997,3.6,3.8,3.3,2.8,3.0,2.6,2.5,2.5,2.1,1.8,1.7,1.5
1998,2.2,1.9,2.0,2.0,2.4,2.2,2.2,2.2,2.0,2.4,2.3,2.3
1999,2.3,2.4,2.3,2.3,2.1,2.2,2.1,2.0,2.2,1.9,1.9,1.9
2000,1.5,1.8,2.0,2.0,2.2,2.3,2.6,2.7,2.6,2.4,2.2,2.8
2001,2.9,3.0,3.1,3.2,3.1,3.4,3.2,3.1,3.1,3.4,3.4,2.8
